Id,noteID,time,title,from_user,to_user,text,Q: Questioning,T: Theorizing/explaining,E: Evidence,R: Referencing  sources 
1,948,9/27/12,Batteries,"u86,u92",,{[I need to understand]: what powers a battery? How do batteries work? } ,1,,,
2,955,9/27/12,Metal versus plastic and wood,"u93,u85",,{[I need to understand]: Why does metal react better to electricity than wood or plastic? } ,1,,,
3,967,9/27/12,energy without batteries,"u81,u97",,{[I need to understand]: How can we create energy without a battery? } ,1,,,
4,979,9/27/12,How batteries work,u88,,"{[My theory]: is that protons and electrons are in two parts of the battery, the positive and negative energy. When thay are connected to the light bulb it lights up because of the positive and negative energy jumbling around in the light bulb. } ",1,1,,
5,984,9/27/12,Positive and negative energy,u84,,"{[My theory]: Positive energy comes from one side of the battery, and negative energy comes from the other. And the need to meet at the lightbulb for it to work. } ",,1,,
6,1020,9/27/12,magnets and electricity,u83,,"The shake-it-up flashlight is proof that magnets can generate electricity. {[My Theory]: is that the magnet is positive and negative in its two sides, sort of like a battery, in a way. If negative and negative are put against each other, they repel each other, and positive and positive create the same effect. The magnet rubbing against the wire creates friction and electricity.}",,1,1,
7,1148,9/27/12,Twisty thing,u85,"u81,u97",{[My theory]: is that you can use that twisty thing that Nora and Marissa used. I think it works because when you turn the crank on the twisty thing that it creates static electricity inside the twisty thing and something inside it turns the static electricity into regular electricity and then the electricity comes out of the twisty thing and through the wire into whatever your powering } ,,1,1,
8,1160,9/27/12,Traveling Energy,u77,"u93,u85",{[My theory]: is that metal conducts electricity just as well as the tin foil tape. Also plastic doesn't transfer the energy from place to place because the energy can't travel through. With wood it's the same. } ,,1,,
10,1288,9/27/12,?,u95,u85,"what is a twisty thing again?Is it that thing that is clipped to the wires?",1,,,
12,1409,9/27/12,whats inside a battery,u85,"u86,u92",{[My theory]: is that there is a very mini battery inside the battery and it is surrounded in charging juice that keeps charging the mini battery and then it works }   ,1,1,,
11,1302,9/27/12,energy,u78,,{[My theory]: is that when the positive and negative come to gether they explode with opisites and make energy } ,,1,,
14,1486,9/27/12,power,u78,"u81,u97",i think that you can use soler power,,1,,
13,1458,9/27/12,Generating Energy,u77,,"{[I need to understand]: how does solar energy work? Does it mean that the sun generates electricity too? If it does how could we use it in class just as we use batterys? Also, if batterys burn out once the sun is in one spot and is constantly generating energy will it eventually burn out?  } ",1,,,
15,1514,9/27/12,positive and negative energy?,"u96,u84",, {[I need to understand]: why do machines need positive and negative energy what type of energy does the negative wire give and what does positive energy do. I think that they are like brothers.   }  ,1,,,
20,1853,9/27/12,bateries,u78,, i need to understand how bateries work  ,1,,,
