complexity_level,complexity_type,text
L-E,explanation,How a shadow is made a light nose on a big object 
L-E,explanation,Rainbows are when light goes through rain droplets that act like prisms 
L-E,explanation,The order of colors in the rainbow goes Red Orange yellow Green Blue Indigo Violet its in that order because of the light waves red is the longest light wave and violet is the shortest light wave 
L-E,explanation,This is how we see different colored objects when you see a yellow flower it is because all the primary colors of light hit it red and green light bounce off of the flower into your eye 
L-E,explanation,its the same with magenta except blue  red nonces off 
L-E,explanation,its also the same with cyan except blue  green light bounces off 
L-E,explanation,Shadows are made when light hits an opaque object and so then it makes shadow The shadow is allays attacher to a opaque object 
L-E,explanation,It depends on the time of day for the size of the shadow 
L-E,explanation,a convex lens also helps focus the light  
L-E,explanation,It dost focus the light  
L-E,explanation,If you shine a light through a stem of water you will see a rainbow in the water 
L-E,explanation,Wen you see a red rose the blue and green are being absorbed and the red will be reflected and you see a red rose 
L-E,explanation,Wen you look at a yellow rose the to colors that are reflected are red and green they make yellow The blue is absorbed and you cant see it 
L-E,explanation,Other Lights our when the sun boards the earth with tiny particles of belletristic they hit the earths attester the air and electricity makes it glow 
L-E,explanation,A liner elicits is when the sun is behind the earth and the moons in front of the earth 
L-E,explanation,Light travels in inviable waves so it acts like a straight line but is actually waves 
L-E,explanation,Light wave length is shorter then ultra violet waves which are inviable to our eyes so some people still think that light travels in a straight line It was proved by many people a long time ago 
L-E,explanation,A shadow is made by an opaque object nontransparent object and when you shine the light through the opaque object you can see a black spot that black spot is a shadow 
L-E,explanation,Solar panels are usably used in places where they want to absorb light what a solar panel is basically is a thing that absorbs light stead of reflecting light so it can give off light later on 
L-E,explanation,You have three eye cones in your eyes to SEe different couplers like I said before the easy way to SE many couplers is you need blue red and green so they are blue red and green 
L-E,explanation,glowing things is that it needs to absorb light to work 
L-E,explanation,A shadow is a reflection of light hitting an object To see a shadow you need a source of light like the sun or a flash light 
L-E,explanation,A solar eclipse is when the sun over laps the moon band then the sun and the moon go red 
L-E,explanation,This is how a shadow is made  a shadow is made when light hits an object 
L-E,explanation,This is why how you make a rainbow with a prism you get a prism and shine a light though the prism and then you will see a prism rainbow
L-E,explanation,how we make a rainbow with rain  After it rains you see a rainbow its made by the sun light shining though the water and it makes a rainbow 
L-E,explanation,Solar panel absorb light and change it to solar energy 
L-E,explanation,My theory about how light travels is that light travels in ripple waves 
L-E,explanation,My theory about all we see is light is that every thing we see is light 
L-E,explanation,the way a shadow is made is that you are covering part of where the light hits 
L-E,explanation,My understanding of rainbows is that the reason that there always in the same order is that Red has the longest light wave and violet the shortest 
L-E,explanation,Anything that isn't the same color gets absorbed the same color is always reflected 
