Scientificness,Complexity_level,Complexity_type,Subject,text
E-H,L-F,fact,Shadow,When light shines on you it makes shadows 
E-BS,L-F,fact,Shadow,The umbra is the darkest part of the shadow 
E-BS,L-EF,fact,Shadow,The penumbra is the light part of the shadow Its a shadow plus a little light 
E-BS,L-F,fact,eclipse,An solar eclipse is when the moon goes in front of the sun 
E-BS,L-F,fact,eclipse,A lunar eclipse is when the earths between the sun and the moon 
E-BS,L-F,fact,rainbow,I know that there is 7 colors in a rainbow red orange yellow green blue indigo violet 
E-S,L-F,fact,pri&sec,The primary colors of light are red green and blue 
E-S,L-F,fact,pri&sec,If you mix all three colors you get white light 
E-S,L-F,fact,pri&sec,If you mix blue and green you get cyan 
E-S,L-F,fact,pri&sec,If you mix red and blue you get magenta 
E-S,L-F,fact,pri&sec,Red and green make yellow 
E-BS,L-E,explanation,rainbow,To make a rainbow you need raindrops on plants then the sun shines on the plants then makes a rainbow 
E-BS,L-F,fact,postimage,You have 3 kinds of eye cones One sensitive to red one sensitive to green and one to red 
E-S,L-EF,fact,pri&sec,The secondary colors of light are yellow magenta and cyan There made by mixing the primary colors of light 
E-BS,L-EE,explanation,object,We can see a yellow rose because red blue and green are going to the flower Red and green bounce into your eyes but blue absorbs 
E-BS,L-EE,explanation,object,You can see a red rose because red bounces of and goes into your eyes blue and green get absorbed 
E-BS,L-E,explanation,prism&rainbow,You can make a rainbow by holding up a prism to the sun The white light will go through the prism and make a rainbow
E-BS,L-E,explanation,northern,The northern lights are ribbons of red pink and ghostly green lights that dance and shimmer for hours across the sky They occur when the sun bombards earth with tiny particles of electricity to small for us to see 
E-BS,L-F,fact,materials,A transparent object is see through like a window or light 
E-BS,L-F,fact,materials,A translucent object lets in just some light but you cant see through it like paper or frosty glass 
E-BS,L-F,fact,materials,An opaque object is solid so you cant see through it like a brick or a book cover 
E-BS,L-F,fact,reflection,A convex mirror is like a belly mirror You are upside down until you walk really close you go right side up 
E-BS,L-F,fact,reflection,Angle of incidence  the angle of reflection the law of reflection 
E-BS,L-F,fact,diffused,A diffused reflection is when light hits a bumpy mirror and spreads all over the place 
E-BS,L-F,fact,lens,Concave lenses help far sighted people see closer 
E-BS,L-F,fact,lens,Convex lenses are for people that can only see close they help near sighted people 
E-BS,L-E,explanation,sunpanel,solar panels take in the suns rays a make energy with them 
E-BS,L-F,fact,bio,Photoluminescence is when a animal makes its own light like a fire fly 
E-BS,L-F,fact,glow,Chemiluminescence is when you turn chemical energy into light 
E-BS,L-F,fact,glow,Fluorescence is when an object gives off light while getting it from another source 
E-BS,L-E,explanation,laser,Lasers are the best wielding equipment that I no of because it saved the navy millions Laser is short for light amplification by stimulated emission of radiation 
E-BS,L-E,explanation,travel,I think that light travels in a straight line because we did a lot of experiments and proved that it travels that way 
E-BS,L-E,explanation,travel,Light travels in a wave 
E-S,L-F,fact,pri&sec,The primary colors of light are red green blue 
E-S,L-F,fact,pri&sec,The secondary are yellow magenta cyan 
E-BS,L-E,explanation,rainbow,The rainbow makes white light 
E-BS,L-E,explanation,prism&rainbow,When white light goes through a practicum it makes a rainbow
E-H,L-E,explanation,rainbow,When white light goes through a rain drop it make a rainbow 
E-BS,L-E,explanation,object,When you see a red rose the red light bonus into our 
E-BS,L-E,explanation,object,When you see a yellow flower the yellow light bonus into our 
E-BS,L-E,explanation,object,When you see colored light or a rose so if you a red rose red light bonus into your eyes but blue  green get absorb into the flower 
E-BS,L-F,fact,materials,Transparent objects Menes clear 
E-BS,L-F,fact,materials,translucent you can see a little light 
E-BS,L-F,fact,materials,Opaque tea means is inn see through 
E-BS,L-F,fact,reflection,A concave mirror is like a cave 
E-BS,L-F,fact,reflection,a convex mirier is like a lubberly belly 
E-H,L-F,fact,reflection,Law of reflexion on a flat is when the light bows is off mirror 
E-BS,L-F,fact,reflection,Diffused reflection is when there is a bumpy mirror 
E-BS,L-F,fact,lens,Concave lens help mer sided people 
E-BS,L-F,fact,lens,convex Len help far said people 
E-H,L-F,fact,bio,Photoluminescence is some that make its own light 
E-BS,L-F,fact,glow,Chemiluminescence light coxed be camel bestselling that glow bare made by Clemmie 
E-H,L-F,fact,laser,Lasers are a very strong light  
E-H,L-E,explanation,shadow,How a shadow is made a light nose on a big object 
E-H,L-F,fact,shadow,A umbra is a big light source 
E-BS,L-F,fact,shadow,A penumbra is a lighter shadow 
E-S,L-E,explanation,rainbow,Rainbows are when light goes through rain droplets that act like prisms 
E-S,L-E,explanation,rainbow,The order of colors in the rainbow goes Red Orange yellow Green Blue Indigo Violet its in that order because of the light waves red is the longest light wave and violet is the shortest light wave 
E-H,L-F,fact,rainbow,Rainbows can only be made by sun light 
E-BS,L-EF,fact,postimage,about colors when you look at a red object for at least 10 seconds and then look at a white suffuse and it will have the same shape but it will be green 
E-S,L-F,fact,pri&sec,The primary colors of light are red blue and green 
E-S,L-F,fact,pri&sec,The secondary colors of light are yellow magenta and cyan 
E-S,L-F,fact,pri&sec,if you mix green  blue light it makes cyan 
E-S,L-F,fact,pri&sec,If you mix Green  red light together it makes yellow light 
E-S,L-F,fact,pri&sec, if you mix red and blue light together it makes magenta 
E-S,L-F,fact,pri&sec,Win you mix all of t hem together it makes white 
E-BS,L-E,explanation,objects,This is how we see different colored objects when you see a yellow flower it is because all the primary colors of light hit it red and green light bounce off of the flower into your eye 
E-BS,L-E,explanation,object,its the same with magenta except blue  red nonces off 
E-BS,L-E,explanation,objects,its also the same with cyan except blue  green light bounces off 
E-BS,L-EE,explanation,objects,When you see a red flower the red light bounces off the flower in to our eyes and the green blue gets absorbed 
E-BS,L-E,explanation,shadow,Shadows are made when light hits an opaque object and so then it makes shadow The shadow is allays attacher to a opaque object 
E-BS,L-F,fact,shadow,The umbra part of a shadow is darker then the penumbra part 
E-BS,L-F,fact,shadow,penumbra is the lighter part of the shadow 
E-H,L-E,explanation,shadowsize,It depends on the time of day for the size of the shadow 
E-S,L-E,explanation,lens,a convex lens also helps focus the light  
E-BS,L-E,explanation,lens,It dost focus the light  
E-BS,L-F,fact,materials,Transparent amens that all the light goes through 
E-BS,L-F,fact,materials,Translucent means that only some light goes 
E-BS,L-F,fact,materials,opaque means that no light goes through 
E-BS,L-F,fact,reflection,the law of reflection is when light hits a mirror at an angle it nonces of in the same angle 
E-BS,L-F,fact,diffused,The diffuse reflection means that when there is a bumpy shine surfs the light goes every where 
E-BS,L-F,fact,bio,biosciences are living things that have light on their bodies like the angler fish or firer fies 
E-BS,L-F,fact,glow,Chemiluminescence are chemicals that create light 
E-H,L-F,fact,glow,florescence is a chemical that glows 
E-U,L-F,fact,travel,Our class had a debate on how light travels at first we only had 2 theories straight  wave then we had particles ripples wave inside a tub We 
E-S,L-F,fact,pri&sec,The primary colors of light are red green and blue 
E-S,L-F,fact,pri&sec,The secondary councilors of light are cyan yellow and magenta 
E-S,L-F,fact,pri&sec,wen you mix all the primary colors of light together you see white light 
