all_type,text
L-Q,"is moss a plant or a fungus
[ - is that it is a fungus- ] but I am unsure and will update you when I have done further research
Your friend Sienna (:"
L-Q,It was fun to do with classmates and easy it didn't really make a big mess for us my questions are can we go longer and can it get harder cuz what we did was easy .
L-Q,Maybe there is something attracting the moss so it goes north?
L-Q,"[are ant hills living or noliving-- ]
"
L-Q,Did you know that there is a Queen ant?
L-Q,In the court yard the apple tree is tilted did it gorw like that?
L-Q,spiders have a group(name)in the aracnid catogory?
L-Q,"Would we take the time just to make water when it rains every once in a while, and google doesn't know everything"
L-Q,In the courtyard why is the apple tree tilted or did grow tilted?
L-Q,How do the rocks get into our courtyard
L-Q,why did the weather get cold.why did the wather sudenly get hot then get cold
L-Q,if the animals in the GES courtyard had a harsh Storm that flooded the area how would the survive?
L-Q,"[ - is the thorns are usedto keep plant eating animals away.- ]
we should work together on this wondering"
L-Q,What animals live in the court yard?
L-Q,How are animals so social and work together? What are their strategies?
L-Q,is bateria an animal?
L-Q,What can we infer the stuff that pushes the air on our faces on windy days!!!!!!!!
L-Q,[ - that what is the thing that makes the air push on our body? - ]
L-Q,[is that it's wind
L-Q,[ - how we feel air but we can't see it.- ]
L-Q,How does the white soil interact with plants
L-Q,How was white soil created?
L-Q,Why does moss provide a good home for insects
L-Q,If animals don't change their fur for the season then what will happen?
L-Q,when i was walking in the courtyard i was thinking about my theory- what is the sciene behind the evolution of air?- ]
L-Q,What evidence dose the worm home so sandy
L-Q,what evidence do we have how air is invisboll.
L-Q,What can we do to see the air?
L-Q,IS tHAT the green side might be for camofloging with the leef and brown side for sand
L-Q,[ - why we are not able to see air we feel it why can't we see it- ]
L-Q,What can we do to be able to see air?
L-Q,why do the apples fall from the trees and then rot?
L-Q,what causes the poison ivy to interact with humans and create a rash????????
L-Q,"what evidence is there, that there are dangerous animals out in the wild, near our area?"
L-Q,i wonder how they get the blood out
L-Q,[ - are ant hills alive?- ]
L-Q,how do spiders climd walls
L-Q,o think that peguins need feathers to keep themselves warm
L-Q,how do ants build ant hills or do other anamils build ?
L-Q,"[ - How Ants build Ant hills. Do they help other ants build ant hills, or do they make them all alone?- ]"
L-Q,Was metal once living?
L-Q,were do the ants get woter from uder grawnd.???
L-Q,Why can't Peguins fly?
L-Q,What type of trees have small red berries on it
L-Q,Do plants eat sunlight?
L-Q,Why are worms and ants in dirt worms can move only in or near dirt and ants can come out of their ant hil
L-Q,How long do ants live?
L-Q,How does sunlight help living things?
L-Q,how dose the sun help and what dose it do to hel our eco sistme
L-Q,does weather do anything to the ecosyestems?
L-Q,Why do the insects get into the bark into the tree?
L-Q,Why do animals eat
L-Q,why do the anmolls hide in the bushes
L-Q,why do animals hide in the bushes in the wintor ???
L-Q,How do animals get into the court yard
L-Q,"I wonder if a big flower like a sunflower can grow in a small space
from sienna"
L-Q,if a feamle ants eat the right food they turn into queen ants
L-Q,"why is soil thick and black?
why is ther dark forset soil and sandy soil and clay soil?"
L-Q,how deos moss/plants eat thier food
L-Q,so i am wondering how photosythesis works and really what it is? hopefully i can get back to you guys on that.
L-Q,How Does air poulition effect people??
L-Q,Do ants have Love??
L-Q,where is the link?
L-Q,[ - how did are ecosystem start- ]
L-Q,Are ornamental grasses found all over the world ? ??
L-Q,what are ornamental grasses?
L-Q,do ants sleep? do they go into hibernation?
L-Q,[Is that the plant starts to dies when the soil becomes more unheathly or they can't get the minerals that they need.]
L-Q,how do spiders spin weds
L-Q,why do you have to do a controlled fire when you can just cut the plants down
L-Q,"I'm learning about the diffrence between air.
Does the air in the Adirondack Mountains have more or less carbon dixoide then the air in NYC?"
L-Q,HoW dId YoU gEt ThIs?
L-Q,I'm wondering if some stomich acids are emzins?(yes I know I spelled that wrong)
L-Q,Why isn't Africa's water system as well as ours?
L-Q,how are they able to find resources?
L-Q,Why does Africa's water dry up so quickly?
L-Q,[how filters work.
L-Q,[how do filters work?
L-Q,what weill happed if you drink too much water? will you be fine?
L-Q,Where did water come from?
L-Q,You cant make water Right?
L-Q,I am wondering what would happen if you instead of having water for two weeks you drank sugar drinks!
L-Q,Were does water come from?
L-Q,how does water scarcity happen
L-Q,I am wondering why sugar drinks have a taste and water doesn't have one
L-Q,Does this mean that water tastes like nothing?
L-Q,"my wondering is:
what are some ways humans purify water"
L-Q,"can you make water?
i do not think you can"
L-Q,whats water made out of?
L-Q,How would we find a way to increase our water supply to througout the United States instead of just here in America?
L-Q,how do you make water
L-Q,We have so much water in the ocean whats the point of making water
L-Q,ow do you make water can somebody help me
L-Q,Why can't we just strain the salt water to purify the water?
L-Q,"Hi this is Sienna my wondering is how can we move glaciar water to our home town and other places?
thank you"
L-Q,[ - If there is already something that can get the salt out of salt water than we would not be having this unit- ]
L-Q,The reason why is that it is very expensive to desalinate water
L-Q,Why can't Salva just make a water filter
L-Q,[ - How can scientist make cars that drive its self but they can't turn saltwater into freshwater ?- ]
L-Q,can we build filters for your problem?
L-Q,will we ever run out of water? well im going reaserch will we run out of water?
L-Q,how can we help stop water pollution
L-Q,How can we help to get water for those in need all around the world in our community?
L-Q,My new question for the water unit is why can we not make water?
L-Q,I am wondering if milk or water are healthier?
L-Q,if there was no water could you drink juice insted?
L-Q,I wonder how and why do fish breath water?
L-Q,HoW dId YoU gEt ThIs?
L-Q,do ants sleep? do they go into hibernation?
L-Q,"How do tree's grow why does it need water and sunlight.
how many days does it take for a tree to grow. Does it matter if its a different type of tree"
L-Q,"What if the big tree by the school in the court yard fell down,what would happen,would someone get hurt? would we evacute the school or just the class that the tree fell down on. Would the whole school just leave or...what?"
L-Q,"[ - how do bee'shelp us human's? - ]
- ] How do bees help other living things? How is pollination helpful? What is pollination?"
L-Q,Why does poison ivy spread? Does when somebody step in it does it travel from them to other places or does it jut grow unless conained because it is an invasive species?
L-Q,[that why some people can get to water so fast and other people can't. Is it because those countries are hotter and water evaporates faster or is it because they don't have the technology that we have here and we have water pipes and other countries don't?
L-Q,What are leaches and how are they getting attached to us? What happens when they attach on to us?
L-Q,"[ - It is good to see that our HB study is helping to fit some ideas together in this unit, too.
Can you share your resource about the color of urine (pee). I thought the darker your urine, the more dehydrated you are, but that is the opposite of what you are saying. Can you share more?"
L-Q,"do venomous, and poisonous animals eat each other? if they do, do they still live?"
L-Q,"[ - I read on World Almanac that briophytes are actually a type of moss. However, I read on wikipedia that briophytes are a plant. Is it both?- ]
[ - which is true or are both true? Why? What makes something a plant or a moss?- ]
Briophytes don't grow seeds.
http://wak.infobaselearning.com/plants/seedless-plants/diversity-of-mosses.aspx?qHL=bryophytes"
L-Q,"[ - is that they would stilll walk.- ]
But...
[ - How long a spider would live for. Would it live for a minute? A few seconds? An Hour? A day? An average spider life?- ]
[ - Some have 6 legs...- ]"
L-Q,"I have noticed how there are many apple trees, im wondering what effectsrotting apples on the ground to happen.
[ -Why there are rotting apples on the ground out of nowhere. Do animals and weather make this happen? Does time matter?
[ -I'm thinking rotting apples happen when insects go through eating the apple (sometimes happens) , when it's finished, the apple has less enerygy so time makes it rot. - ]
- ]"
