Complexity_type,PredictedTestData,Scientificness,Subject,text
fact,L-F,E-BS,bio,Photoluminescence is an living thing that pro douses its on light 
fact,L-F,E-BS,glow,Chemiluminescence is a chemical that makes light  like the Halloween glow skits 
fact,L-F,E-BS,glow,Florescence thing arch thing that glow like those bedroom star 
fact,L-F,E-H,laser,A laser is a hilly intense tool its all the tools 
explanation,L-E,E-S,shadow,A shadow is mad by an object in front of a light stream The light cant go around and then no light git be hind the objects and its dark 
fact,L-F,E-BS,shadow,An umbra is the dark shadow 
fact,L-F,E-BS,shadow,A penumbra is the light shadow 
explanation,L-EE,E-BS,eclipse,A solar eclipse is an eclipse of the sun It occurs when the moon is located between the sun and the earth The moon blocks the sunlight coming to the earth 
explanation,L-E,E-BS,eclipse,A liner elicits is when the sun is behind the earth and the moons in front of the earth 
explanation,L-EE,E-BS,travel,My theory is that light travels in waves I leaned this by doing an ensnarement the end resale was a wave pattern Like doping to pebbles in a pond and the reason is like light 
explanation,L-E,E-BS,travel,Light travels in inviable waves so it acts like a straight line but is actually waves 
fact,L-F,E-BS,refraction,Water bends light 
explanation,L-EE,E-H,travel,Light wave length is shorter then ultra violet waves which are inviable to our eyes so some people still think that light travels in a straight line It was proved by many people a long time ago 
fact,L-EF,E-BS,lens,Most lenses focuses light so if a weak but large source of light is being produced and you put a lens under it then it will make the weak light focus and become strong 
fact,L-F,E-BS,lens,Some lenses make light spread out 
fact,L-F,E-H,lens,there are many types of lenses there are glasses magnifying glasses and many many more 
explanation,L-EE,E-H,glow,Most glowing things are painted with a layer of fluorescent paint this paint absorbs light and when it is dark the absorbed light would unleash the light that it saved until its empty and has no more light 
fact,L-F,E-S,pri&sec,There are primary colors and secondary colors The primary colors of light are red blue and green 
fact,L-F,E-S,pri&sec,Red and green make yellow light 
fact,L-F,E-S,pri&sec,green and blue light make cyan 
fact,L-F,E-S,pri&sec,and red and blue make magenta 
fact,L-F,E-S,pri&sec,and all three make  WHITE 
fact,L-F,E-S,pri&sec,and the secondary colors are magenta cyan and yellow 
fact,L-F,E-BS,rainbow,Rainbows are light colors you can see 
fact,L-EF,E-BS,prism&rainbow,you make a rainbow with a prism if you put a source of light in front of a glass prism you usably don't see a perfect rainbow mane not even a rainbow but sometimes you can see a small rainbow
explanation,L-EE,E-H,rainbow,but that doesn't explain why sometimes there are rainbows after rain storms or when it rains the answer to this is raindrops act as prisms but when I did a experiment at my house i filled a glass of water and turned out the lights I didn't see even a tiny outline of a rainbow 
fact,L-EF,E-H,reflection,When light hits a flat mirror at a 20 degree angle it goes out of the flat mirror at a 20 degree angle this means the angle of reflection equals the angle of incidence so light if it goes in at any number angle it will come out at the same angle but this only works with a flat mirror 
fact,L-F,E-BS,diffused,If you use it with aluminum foil thats all crumpled up then light will go out at all sides this is called a diffuse reflection 
fact,L-EF,E-BS,reflection,There are many types of mirrors there are flat mirrors which in the last paragraph is the only type of mirror that will make light go out at the same angle that it came in a flat mirror is the most comment mirror 
fact,L-F,E-BS,reflection,but there are two more basic ones One is the concave mirror This mirror looks like a cave It goes in and bounces light inside it 
fact,L-F,E-BS,reflection,Unlike convex mirrors convex mirrors can bounce off many sides Those are the basic mirrors 
